Table 1
序号,股票名称,代码,主营业务,"注册地/
受理法院",股本,控股股东性质,预重整,,,,,,,,正式重整,,,,,,,重整计划执行完成,产投价格（元/股）及公告时间,,财投价格（元/股）及公告时间,,产业方行业,申请撤销风险警示、退市风险的公告,摘星时间,摘帽时间,财投解禁时间,财投价格买入触发价格,立案与处罚,其他机会,波段整理与总结,,带星戴帽,被st原因,备注,策略梳理,财投价格买入触发价格（25%）,建仓价格2
,,,,,,,申请预重整,受理预重整,指定临时管理人,"招募预重整
投资人",关于招募进展的公告,预重整签署投资协议,公告预重整计划草案,投票通过重整计划草案,法院受理重整,招募重整投资人,关于招募进展的公告,签署重整投资协议,公告重整计划草案,投票通过重整计划,批准重整计划,,,,,,,,,,,,,,被申请到签预重整协议,法院受理到重整结束,,,,,,
29,*ST亚太,‘000691,精细化工、农药中间体研发、生产、销售,甘肃兰州,3.23亿,民营企业,7/12/25,7/12/25,7/12/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,西发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
创业板股票带星戴帽涨跌幅还是20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
重点关注炼石航空,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
关注金通灵带星戴帽看是否有机会,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
深圳法院受理重整时间较长，4个月左右,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
梳理：从遴选到确定是否有一波,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6.19,新研、交投、金通灵在招募中。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
